cep290,ana1,sigd,mature
0.34,0.51,0,0
0.34,0.51,0,0
0.34,0.48,0,0
0.34,0.51,0,0
0.34,0.53,0,0
0.34,0.51,0,0
0.34,0.51,0,0
0.34,0.51,0,0
0.34,0.51,0,0
0.34,0.51,0,0
0.37,0.51,0,0
0.34,0.51,0,0
0.34,0.51,0,0
0.37,0.51,0,0
0.34,0.53,0,0
0.34,0.51,0,0
0.34,0.51,0,0
0.34,0.51,0,0
0.34,0.51,0,0
0.34,0.48,0,0
0.34,0.51,0,0
0.34,0.51,0,0
0.37,0.51,0,0
0.34,0.51,0,0
0.34,0.34,0,0
0.34,0.51,0,0
0.34,0.51,0,0
0.34,0.51,0,0
0.34,0.51,0,0
0.34,0.51,1,0
0.34,0.51,1,0
0.39,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.34,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.37,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.34,1,0
0.34,0.34,1,0
0.34,0.51,1,0
0.37,0.51,1,0
0.33,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.34,0.51,1,0
0.9,1.07,0,1
0.85,1.2,0,1
0.94,1.07,0,1
0.83,1.12,0,1
0.83,1.18,0,1
0.83,1.21,0,1
0.74,1.21,0,1
0.94,1.18,0,1
0.74,1.18,0,1
0.94,1,0,1
0.85,1.2,0,1
0.85,1.21,0,1
0.9,1.21,0,1
0.83,1.07,0,1
0.83,1.2,0,1
0.83,1.16,0,1
0.85,1.16,0,1
0.6,1.2,0,1
0.67,1.18,0,1
0.74,1.2,0,1
0.74,1.2,0,1
0.83,1.2,0,1
0.83,1.12,0,1
0.83,1.2,0,1
0.7,1,0,1
0.67,1.12,0,1
0.69,1.21,0,1
0.71,1.12,0,1
0.83,1.16,0,1
0.83,1.2,0,1
0.83,1.18,0,1
0.83,1.18,0,1
0.8,1.18,0,1
0.83,1.16,0,1
0.83,1.21,0,1
0.83,1.12,0,1
0.85,1.21,0,1
0.83,1.2,0,1
0.97,1.1,0,1
0.83,1.16,0,1
0.83,1.21,0,1
0.9,1.27,0,1
0.9,1.18,0,1
0.83,1.18,0,1
0.9,1.2,0,1
0.94,1.3,0,1
0.83,1.2,0,1
0.9,1.27,0,1
0.83,1.21,0,1
0.85,1.16,0,1
0.83,1.3,0,1
0.74,1.21,0,1
0.83,1.21,0,1
0.83,1.21,0,1
0.94,1.3,0,1
0.74,1.12,0,1
0.74,1.2,0,1
0.85,1.18,0,1
0.83,1.18,0,1
0.85,1.21,0,1
0.83,1.2,0,1
0.83,1.27,0,1
0.85,1.27,0,1
0.83,1.18,0,1
0.83,1.2,0,1
0.83,1.18,0,1
0.83,1.3,0,1
1.37,1.27,1,1
1.66,1.18,1,1
1.57,1.12,1,1
1.3,1.2,1,1
1.5,1.18,1,1
1.41,1.18,1,1
1.51,1.18,1,1
1.49,1.12,1,1
1.66,1.18,1,1
1.65,1.2,1,1
1.42,1.21,1,1
1.49,1.18,1,1
1.43,1.21,1,1
1.37,1.18,1,1
1.53,1.18,1,1
1.37,1.12,1,1
1.42,1.18,1,1
1.53,1.2,1,1
1.34,1.2,1,1
1.37,1.2,1,1
1.34,1.18,1,1
1.42,1.2,1,1
1.49,1.21,1,1
1.43,1.2,1,1
1.3,1.12,1,1
1.34,1.18,1,1
1.43,1.12,1,1
1.33,1.18,1,1
1.66,1.27,1,1
1.2,1.2,1,1
1.3,1.2,1,1
1.42,1.21,1,1
1.43,1.18,1,1
1.34,1.3,1,1
1.43,1.21,1,1
1.43,1.12,1,1
1.53,1.27,1,1
1.43,1.18,1,1
1.41,1.3,1,1
1.5,1.21,1,1
1.3,1.2,1,1
1.47,1.2,1,1
1.16,1.3,1,1
1.3,1.12,1,1
1.5,1.2,1,1
1.5,1.2,1,1
1.49,1.2,1,1
1.3,1.18,1,1
1.42,1.27,1,1
1.49,1.27,1,1
1.34,1.2,1,1
1.42,1.18,1,1
1.51,1.16,1,1
1.53,1.18,1,1
1.43,1.18,1,1
1.33,1.18,1,1
1.34,1.12,1,1
1.51,1.18,1,1
1.53,1.33,1,1
1.5,1.16,1,1
1.67,1.18,1,1
1.34,1.16,1,1
1.57,1.2,1,1
1.5,1.16,1,1
1.49,1.27,1,1
1.53,1.2,1,1
1.5,1.16,1,1
1.43,1.12,1,1
1.51,1.16,1,1
