wtana,wtcep,r19ana,r19cep,resc_ana,resc_cep
1.07,0.9,1.27,1.37,1.3,1
1.2,0.85,1.18,1.66,1.18,1
1.07,0.94,1.12,1.57,1.18,1.49
1.12,0.83,1.2,1.3,1.18,0.69
1.18,0.83,1.18,1.5,1.12,0.74
1.21,0.83,1.18,1.41,1.16,0.71
1.21,0.74,1.18,1.51,1.2,0.83
1.18,0.94,1.12,1.49,1.21,0.83
1.18,0.74,1.18,1.66,1.12,1.2
1,0.94,1.2,1.65,1.2,1.2
1.2,0.85,1.21,1.42,1.3,0.9
1.21,0.85,1.18,1.49,1.2,0.9
1.21,0.9,1.21,1.43,1.21,0.94
1.07,0.83,1.18,1.37,1.27,0.9
1.2,0.83,1.18,1.53,1.18,0.9
1.16,0.83,1.12,1.37,1.21,0.83
1.16,0.85,1.18,1.42,1.27,0.83
1.2,0.6,1.2,1.53,1.2,0.9
1.18,0.67,1.2,1.34,1.18,0.74
1.2,0.74,1.2,1.37,1.21,1.01
1.2,0.74,1.18,1.34,1.21,0.9
1.2,0.83,1.2,1.42,1.18,0.9
1.12,0.83,1.21,1.49,1.05,0.69
1.2,0.83,1.2,1.43,1.18,0.9
1,0.7,1.12,1.3,1.3,1.3
1.12,0.67,1.18,1.34,1.33,0.67
1.21,0.69,1.12,1.43,1.16,0.71
1.12,0.71,1.18,1.33,1.2,1.16
1.16,0.83,1.27,1.66,1,0.69
1.2,0.83,1.2,1.2,1.13,0.67
1.18,0.83,1.2,1.3,1.33,0.85
1.18,0.83,1.21,1.42,1.21,0.69
1.18,0.8,1.18,1.43,1.2,0.69
1.16,0.83,1.3,1.34,1.21,0.71
1.21,0.83,1.21,1.43,1.21,0.69
1.12,0.83,1.12,1.43,1.19,1.18
1.21,0.85,1.27,1.53,1.8,0.67
1.2,0.83,1.18,1.43,1.18,0.6
1.1,0.97,1.3,1.41,1.18,1.57
1.16,0.83,1.21,1.5,1,0.69
1.21,0.83,1.2,1.3,1.2,0.67
1.27,0.9,1.2,1.47,1.3,0.850017
1.18,0.9,1.3,1.16,1.18,0.83335
1.18,0.83,1.12,1.3,1.2,0.8983513
1.2,0.9,1.2,1.5,1.18,0.83335
1.3,0.94,1.2,1.5,1.3,1.1183557
1.2,0.83,1.2,1.49,1.18,0.66668
1.27,0.9,1.18,1.3,1.3,1.2133576
1.21,0.83,1.27,1.42,,1.1783569
1.16,0.85,1.27,1.49,,0.7450149
1.3,0.83,1.2,1.34,,0.6016787
1.21,0.74,1.18,1.42,,0.6866804
1.21,0.83,1.16,1.51,,0.66668
1.21,0.83,1.18,1.53,,0.6016787
1.3,0.94,1.18,1.43,,1.066688
1.12,0.74,1.18,1.33,,1.1183557
1.2,0.74,1.12,1.34,,1.700034
1.18,0.85,1.18,1.51,,0.7066808
1.18,0.83,1.33,1.53,,1.16669
1.21,0.85,1.16,1.5,,0.850017
1.2,0.83,1.18,1.67,,0.8983513
1.27,0.83,1.16,1.34,,1.16669
1.27,0.85,1.2,1.57,,0.6016787
1.18,0.83,1.16,1.5,,1.16669
1.2,0.83,1.27,1.49,,0.8983513
1.18,0.83,1.2,1.53,,1.066688
1.3,0.83,1.16,1.5,,1.3016927
,,1.12,1.43,,0.83335
,,1.16,1.51,,0.8983513
,,,,,0.6866804
,,,,,0.7066808
,,,,,0.7450149
,,,,,0.7450149
,,,,,0.7066808
,,,,,0.850017
,,,,,0.83335
,,,,,0.7066808
,,,,,0.7450149
,,,,,1.33336
,,,,,1.066688
,,,,,1.16669
,,,,,0.83335
,,,,,1.066688
,,,,,0.83335
,,,,,0.83335
,,,,,0.83335
,,,,,0.850017
,,,,,0.7066808
,,,,,0.7450149
,,,,,0.6016787
,,,,,0.9716861
,,,,,0.6016787
,,,,,0.83335
,,,,,0.83335
,,,,,1.1183557
,,,,,0.6866804
,,,,,0.7450149
,,,,,0.66668
,,,,,0.7450149
