wt,r19,sktl2.3
2.22,2.47,2.1641
2.25,2.32,2.2321
2.05,2.83,2.0757
1.97,3.01,2.0774
2.06,2.69,2.3035
2.19,2.73,2.3035
2.12,2.83,1.8785
2.14,3.01,1.9006
2.57,2.67,2.1777
2.26,2.79,2.1301
1.98,2.85,2.2678
2.03,2.75,1.9006
1.83,2.79,1.938
1.86,2.33,2.601
2.3,3.16,2.1777
2.2,3.2,2.2865
2.15,3.05,2.2678
2.04,3.83,2.601
2.09,3.2,2.89
2.03,2.52,2.4225
2.03,2.6,2.2814
2.3,3.28,2.5092
2.2,2.16,2.788
2.04,3.04,2.89
2.15,2.53,2.788
2.14,2.36,2.0757
2.37,2.68,2.6367
1.98,2.99,2.2168
2.05,3.51,2.2168
1.98,3.07,2.4038
2.2,,2.312
2.03,,2.7251
2.05,,2.2355
,,2.3681
,,2.3613
,,2.5942
,,2.2814
,,2.2168
,,2.72
,,2.4038
,,2.2168
,,2.7404
,,2.4514
,,2.5891
,,2.89
,,2.9104
,,3.0651
,,2.55
,,2.5279
,,2.9053
,,2.7404
,,2.6452
,,2.0468
,,2.6877
