wt@10,r19@10,wt@4,r19@4,wt,r19
0.67,1.41,0.71,1.33,0.83,1.21
0.71,1.51,0.71,1.41,0.83,1.37
0.6,1.34,0.83,1.64,0.83,1.3
0.67,1.3,0.85,1.66,0.74,1.33
0.9,1.3,0.83,1.53,0.83,1.34
0.85,1.53,0.71,1.66,0.83,1.71
0.9,1.43,0.67,1.5,0.74,1.83
0.85,2.19,0.6,1.77,0.74,1.21
0.94,1.34,0.5,1.77,0.94,1.51
0.83,2.13,0.6,1.7,0.83,1.3
0.94,1.84,0.5,1.53,0.94,1.37
1,1.07,0.83,1.41,0.94,1.57
1,3.54,0.83,1.3,0.69,1.34
1,2.24,0.83,1.53,0.69,1.53
0.97,1.43,0.83,1.67,0.6,1.33
1.07,1.3,0.83,1.18,0.6,1.43
0.94,1.33,0.83,1.42,0.69,1.51
0.83,1.37,0.83,1.12,0.74,1.41
1.16,1.49,0.83,1.34,0.69,1.49
0.83,1.2,0.71,1.2,0.6,1.43
0.83,1.42,0.83,0.83,0.71,1.49
1.57,1.34,0.83,0.85,0.83,1.64
0.84,1.3,0.94,1.07,0.83,1.57
0.97,1.64,0.83,1.05,0.6,1.27
0.97,1.67,0.83,1.16,0.6,1.7
0.67,1.66,0.69,1,0.69,1.77
0.9,1.41,0.67,1.2,0.71,1.74
0.83,1.85,1.05,1.3,0.71,1.49
,6.65,0.97,1.3,0.85,1.53
0.901428571,,1,1.16,,1.66
0.183862152,1.766551724,1.18,1.12,0.753448276,1.43
,1.05131644,,1.3,0.104344069,1.27
,,0.796129032,1.18,,1.49
,,0.147007424,1.18,,1.37
,,,1.79,,
,,,1.67,,1.468823529
,,,1.5,,0.1637027
,,,1.53,,
,,,1.58,,
,,,,,
,,,1.37025641,,
,,,0.256755948,,
