pip2,taxol,length
1,0,0.83
1,0,0.83
1,0,0.83
1,0,0.74
1,0,0.83
1,0,0.83
1,0,0.74
1,0,0.74
1,0,0.94
1,0,0.83
1,0,0.94
1,0,0.94
1,0,0.69
1,0,0.69
1,0,0.6
1,0,0.6
1,0,0.69
1,0,0.74
1,0,0.69
1,0,0.6
1,0,0.71
1,0,0.83
1,0,0.83
1,0,0.6
1,0,0.6
1,0,0.69
1,0,0.71
1,0,0.71
1,0,0.85
0,0,1.21
0,0,1.37
0,0,1.3
0,0,1.33
0,0,1.34
0,0,1.71
0,0,1.83
0,0,1.21
0,0,1.51
0,0,1.3
0,0,1.37
0,0,1.57
0,0,1.34
0,0,1.53
0,0,1.33
0,0,1.43
0,0,1.51
0,0,1.41
0,0,1.49
0,0,1.43
0,0,1.49
0,0,1.64
0,0,1.57
0,0,1.27
0,0,1.7
0,0,1.77
0,0,1.74
0,0,1.49
0,0,1.53
0,0,1.66
0,0,1.43
0,0,1.27
0,0,1.49
0,0,1.37
1,4,0.71
1,4,0.71
1,4,0.83
1,4,0.85
1,4,0.83
1,4,0.71
1,4,0.67
1,4,0.6
1,4,0.5
1,4,0.6
1,4,0.5
1,4,0.83
1,4,0.83
1,4,0.83
1,4,0.83
1,4,0.83
1,4,0.83
1,4,0.83
1,4,0.83
1,4,0.71
1,4,0.83
1,4,0.83
1,4,0.94
1,4,0.83
1,4,0.83
1,4,0.69
1,4,0.67
1,4,1.05
1,4,0.97
1,4,1
1,4,1.18
0,4,1.33
0,4,1.41
0,4,1.64
0,4,1.66
0,4,1.53
0,4,1.66
0,4,1.5
0,4,1.77
0,4,1.77
0,4,1.7
0,4,1.53
0,4,1.41
0,4,1.3
0,4,1.53
0,4,1.67
0,4,1.18
0,4,1.42
0,4,1.12
0,4,1.34
0,4,1.2
0,4,0.83
0,4,0.85
0,4,1.07
0,4,1.05
0,4,1.16
0,4,1
0,4,1.2
0,4,1.3
0,4,1.3
0,4,1.16
0,4,1.12
0,4,1.3
0,4,1.18
0,4,1.18
0,4,1.79
0,4,1.67
0,4,1.5
0,4,1.53
0,4,1.58
1,10,0.67
1,10,0.71
1,10,0.6
1,10,0.67
1,10,0.9
1,10,0.85
1,10,0.9
1,10,0.85
1,10,0.94
1,10,0.83
1,10,0.94
1,10,1
1,10,1
1,10,1
1,10,0.97
1,10,1.07
1,10,0.94
1,10,0.83
1,10,1.16
1,10,0.83
1,10,0.83
1,10,1.57
1,10,0.84
1,10,0.97
1,10,0.97
1,10,0.67
1,10,0.9
1,10,0.83
0,10,1.41
0,10,1.51
0,10,1.34
0,10,1.3
0,10,1.3
0,10,1.53
0,10,1.43
0,10,2.19
0,10,1.34
0,10,2.13
0,10,1.84
0,10,1.07
0,10,3.54
0,10,2.24
0,10,1.43
0,10,1.3
0,10,1.33
0,10,1.37
0,10,1.49
0,10,1.2
0,10,1.42
0,10,1.34
0,10,1.3
0,10,1.64
0,10,1.67
0,10,1.66
0,10,1.41
0,10,1.85
0,10,6.65
